symbol,description,base_currency,quote_currency,min_lot,max_lot,lot_step,spread,digits,point,tick_value,contract_size,margin_initial,margin_maintenance
IBMm,International Business Machines Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
INTCm,Intel Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
INTUm,Intuit Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ISRGm,"Intuitive Surgical, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
JDm,"JD.com, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
JNJm,Johnson & Johnson,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
JP225m,Japan 225 Index,JPY,JPY,1.0,5000.0,1.0,0,1,0.1,0.0006788221078784096,1.0,0.0,0.0
JPMm,J P Morgan Chase & Co,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
KOm,Coca-Cola Company (The),USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
LINm,Linde plc,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
LIm,Li Auto Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
LLYm,Eli Lilly and Company,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
LMTm,Lockheed Martin Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MAm,Mastercard Incorporated,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MCDm,McDonalds Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MDLZm,"Mondelez International, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
METAm,"Meta Platforms, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MMMm,3M Company,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MOm,"Altria Group, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MRKm,"Merck & Company, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MSFTm,Microsoft Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MSm,Morgan Stanley,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
MXNJPYm,Mexican Peso vs Japanese Yen,MXN,JPY,0.01,200.0,0.01,0,4,0.0001,0.06788221078784094,100000.0,100000.0,0.0
NFLXm,"Netflix, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
NIOm,NIO Limited,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
NKEm,"Nike, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
NOKDKKm,Norwegian Krona vs Danish Krona,NOK,DKK,0.01,200.0,0.01,0,5,1e-05,0.15584820384945067,100000.0,100000.0,0.0
